Unternehmen,Monat,Produktion_Budget,Produktion_Kosten,Personal_Budget,Personal_Kosten,IT_Budget,IT_Kosten,Marketing_Budget,Marketing_Kosten,Logistik_Budget,Logistik_Kosten,Sonstiges_Budget,Sonstiges_Kosten,Budget_Gesamt,Ausgaben_Gesamt,Umsatz,Gewinn
Volkswagen AG,05-2019,22300000,21273000,10700000,10970400,7000000,7184800,6900000,6318400,4700000,4630500,3500000,4391700,55100000,54768800,76676320,21907520
Volkswagen AG,06-2019,21900000,19609100,11900000,10974400,7600000,7763700,6200000,6667700,5100000,4123200,4400000,4249500,57100000,53387600,74742640,21355040
Volkswagen AG,07-2019,22200000,21168900,12200000,10969200,8200000,7195000,5900000,6054700,3900000,4807400,4100000,4273200,56500000,54468400,76255760,21787360
Volkswagen AG,08-2019,22500000,21319500,10800000,11964000,6700000,7707000,6200000,6043700,4900000,4683700,4100000,3873100,55200000,55591000,77827400,22236400
Volkswagen AG,09-2019,22300000,19664400,10800000,11237200,7500000,7531800,6500000,5957600,3800000,4805500,4500000,4049000,55400000,53245500,74543700,21298200
Volkswagen AG,10-2019,22100000,20854000,10900000,11591900,7400000,7587400,6100000,6691100,4000000,4892700,3500000,4465900,54000000,56083000,78516200,22433200
Volkswagen AG,11-2019,21900000,20432800,10500000,11097500,7000000,7611700,6900000,6428000,4600000,4713700,3500000,4147900,54400000,54431600,76204240,21772640
Volkswagen AG,12-2019,21600000,21296600,12500000,11123900,7500000,7039900,6500000,6023500,3900000,4705200,4100000,4429800,56100000,54618900,76466460,21847560
Volkswagen AG,01-2020,22000000,21183900,11600000,11701200,8100000,7556000,6700000,6701500,4200000,4890100,3900000,3953500,56500000,55986200,78380680,22394480
Volkswagen AG,02-2020,22300000,20404100,11300000,11048100,7800000,7809100,6300000,6601400,4800000,4606300,4200000,4126900,56700000,54595900,76434260,21838360
Volkswagen AG,03-2020,21600000,20837400,10500000,10920500,7300000,6798900,6400000,6518300,4400000,4306700,3700000,4393200,53900000,53775000,75285000,21510000
Volkswagen AG,04-2020,21800000,20406800,11400000,11498000,6800000,7066900,6700000,6019000,4600000,4599800,4600000,4363400,55900000,53953900,75535460,21581560
Volkswagen AG,05-2020,22200000,20596500,12100000,11863300,6600000,6895100,6700000,6508600,4000000,4127800,3900000,4345200,55500000,54336500,76071100,21734600
Volkswagen AG,06-2020,21700000,21225700,10500000,11366600,6700000,6909300,7100000,6557900,4900000,4279500,4400000,4060800,55300000,54399800,76159720,21759920
Volkswagen AG,07-2020,22000000,20425500,12400000,11721400,7600000,7426500,7000000,6058300,4200000,4714700,3900000,4127700,57100000,54474100,76263740,21789640
Volkswagen AG,08-2020,22500000,20003800,11300000,11849800,7300000,7343900,6500000,6607400,4000000,4003100,4100000,4228000,55700000,54036000,75650400,21614400
Volkswagen AG,09-2020,22400000,21362400,11600000,11747400,7300000,6894700,6300000,6580000,3900000,4011100,3800000,4181600,55300000,54777200,76688080,21910880
Volkswagen AG,10-2020,22000000,21216800,12500000,11459000,7400000,6763100,7100000,6297800,4900000,4547500,4600000,3726700,58500000,54010900,75615260,21604360
Volkswagen AG,11-2020,22000000,19861100,12000000,10922200,6700000,6812400,6700000,6459800,4400000,4606500,4000000,3953700,55800000,52615700,73661980,21046280
Volkswagen AG,12-2020,22000000,20802700,11600000,11098900,6900000,7160800,6300000,6086700,4600000,4100100,4700000,3974400,56100000,53223600,74513040,21289440
Volkswagen AG,01-2021,21600000,21870200,11300000,11467800,7200000,7004800,5900000,6191300,4300000,4073200,4700000,3922400,55000000,54529700,76341580,21811880
Volkswagen AG,02-2021,21600000,21830600,12200000,11593700,7400000,7671800,7000000,6021100,4200000,4019100,3500000,4453000,55900000,55589300,77825020,22235720
Volkswagen AG,03-2021,22300000,20006700,11900000,11870000,7800000,7029700,6800000,5984400,4900000,4428800,3900000,3957900,57600000,53277500,74588500,21311000
Volkswagen AG,04-2021,22400000,20541400,10500000,11539800,7200000,7296600,6000000,6500400,4600000,4092500,4700000,4138200,55400000,54108900,75752460,21643560
Volkswagen AG,05-2021,21900000,20300300,11700000,11854800,6700000,6764300,6800000,6109400,4400000,4467700,3700000,4195100,55200000,53691600,75168240,21476640
Volkswagen AG,06-2021,22200000,21535500,12100000,11811600,6600000,6802400,6300000,6232700,4900000,4762800,3800000,4364900,55900000,55509900,77713860,22203960
Volkswagen AG,07-2021,22300000,20225900,11200000,11848800,8200000,7083700,6500000,6233300,4400000,4033500,3500000,4364100,56100000,53789300,75305020,21515720
Volkswagen AG,08-2021,21500000,20019800,11300000,11925300,8000000,7542600,6100000,6194400,4200000,4185900,4400000,4435300,55500000,54303300,76024620,21721320
Volkswagen AG,09-2021,22000000,21009200,12400000,11573500,8100000,7277800,6200000,6035000,4700000,4404900,4200000,4150500,57600000,54450900,76231260,21780360
Volkswagen AG,10-2021,22400000,20321500,12300000,11328000,8000000,7325400,6000000,6765500,4400000,4344800,4700000,4170300,57800000,54255500,75957700,21702200
Volkswagen AG,11-2021,22300000,19857300,12000000,11963300,7700000,7165100,7100000,6585600,4500000,4342100,4200000,4203500,57800000,54116900,75763660,21646760
Volkswagen AG,12-2021,22200000,20720000,11400000,11666300,8000000,7816300,6100000,6731200,4000000,4242600,3600000,4457400,55300000,55633800,77887320,22253520
Volkswagen AG,01-2022,21800000,20071000,12300000,11348200,6900000,6768900,5800000,6225900,4400000,4827000,3700000,4314000,54900000,53555000,74977000,21422000
Volkswagen AG,02-2022,22400000,20419800,11400000,11926000,6900000,6843700,6900000,5974200,4500000,4373000,4300000,4397800,56400000,53934500,75508300,21573800
Volkswagen AG,03-2022,22400000,19612000,11100000,11888100,6900000,6934000,5900000,6410000,4500000,4233600,3900000,4337000,54700000,53414700,74780580,21365880
Volkswagen AG,04-2022,22200000,19959400,10600000,11388700,7600000,7751600,7100000,6497700,4600000,4024000,3900000,4239400,56000000,53860800,75405120,21544320
Volkswagen AG,05-2022,22300000,21250000,11600000,11758800,7200000,7790900,6300000,6278400,4200000,4110600,3800000,4249800,55400000,55438500,77613900,22175400
Volkswagen AG,06-2022,21900000,21592600,11800000,11694000,7900000,6877800,7000000,6050800,4400000,4806100,3900000,4175600,56900000,55196900,77275660,22078760
Volkswagen AG,07-2022,22100000,20538600,11600000,11886800,7500000,7272600,5900000,6659500,4100000,4538000,4300000,4054100,55500000,54949600,76929440,21979840
Volkswagen AG,08-2022,22100000,20043000,12200000,10997900,8000000,7748100,7000000,6293700,4100000,4453600,3800000,3813100,57200000,53349400,74689160,21339760
Volkswagen AG,09-2022,21600000,19578700,10500000,11242300,7400000,6819000,6300000,6703900,4700000,4622200,3500000,4497100,54000000,53463200,74848480,21385280
Volkswagen AG,10-2022,22400000,20344600,10700000,11360600,7600000,7331200,7100000,6768600,4900000,4657500,3700000,3765000,56400000,54227500,75918500,21691000
Volkswagen AG,11-2022,21900000,20671700,10700000,11196400,7100000,7011700,7100000,6330000,3900000,4373700,4100000,4064800,54800000,53648300,75107620,21459320
Volkswagen AG,12-2022,21500000,21591200,11200000,11145500,6800000,6766100,6500000,6186000,5100000,4561800,4600000,4360600,55700000,54611200,76455680,21844480
Volkswagen AG,01-2023,22500000,19788800,12300000,11385600,6900000,7025800,6700000,6572000,3800000,4628900,4300000,3904300,56500000,53305400,74627560,21322160
Volkswagen AG,02-2023,21500000,21006300,10500000,11831200,6500000,7887700,6700000,6206900,4200000,4676900,4600000,4492800,54000000,56101800,78542520,22440720
Volkswagen AG,03-2023,21800000,21457000,12000000,11306000,6600000,6741900,7000000,5989000,4500000,4395400,4400000,4368600,56300000,54257900,75961060,21703160
Volkswagen AG,04-2023,22400000,19686000,10600000,11161200,7600000,7469200,6800000,6172900,4000000,4582000,4000000,3857800,55400000,52929100,74100740,21171640
Volkswagen AG,05-2023,22200000,20961800,11100000,11799200,6700000,7005300,6600000,6248400,4300000,4533400,4300000,4409100,55200000,54957200,76940080,21982880
Volkswagen AG,06-2023,21600000,20099500,10900000,11391400,6500000,6877000,7000000,6069200,4600000,4498400,4000000,4413900,54600000,53349400,74689160,21339760
Volkswagen AG,07-2023,22400000,21656900,11300000,11013500,7900000,7841400,7000000,6562600,5000000,4275100,4700000,4078700,58300000,55428200,77599480,22171280
Volkswagen AG,08-2023,21800000,20490300,12300000,11853300,6500000,7874200,6800000,6540800,3900000,4610800,4100000,3977100,55400000,55346500,77485100,22138600
Volkswagen AG,09-2023,21800000,19520000,11500000,10985500,6900000,6937100,6100000,6584600,4000000,4276800,3800000,4484000,54100000,52788000,73903200,21115200
Volkswagen AG,10-2023,21700000,21190600,11200000,11125000,7200000,7123900,6000000,6559700,4600000,4664300,3800000,4313200,54500000,54976700,76967380,21990680
Volkswagen AG,11-2023,21700000,20405400,10600000,11343100,6800000,7196100,6800000,6096400,4500000,4445900,4100000,3743800,54500000,53230700,74522980,21292280
Volkswagen AG,12-2023,22500000,20091600,11700000,11165000,7700000,7216400,7000000,6340400,4000000,4144000,3600000,3730000,56500000,52687400,73762360,21074960
Volkswagen AG,01-2024,21900000,20916700,12400000,11364400,7800000,7011100,5800000,6527700,3800000,4032400,3600000,4143400,55300000,53995700,75593980,21598280
Volkswagen AG,02-2024,22400000,21530200,10800000,11273300,7500000,6816300,6000000,6044700,4700000,4045700,3900000,4022500,55300000,53732700,75225780,21493080
Volkswagen AG,03-2024,21500000,20868300,12500000,11308300,7000000,7117000,7000000,5943000,3800000,4355600,3800000,3896800,55600000,53489000,74884600,21395600
Volkswagen AG,04-2024,21700000,21855300,11000000,11819200,6500000,7230300,5900000,6601500,3800000,4848100,4700000,4386000,53600000,56740400,79436560,22696160
Volkswagen AG,05-2024,21500000,21510300,10600000,10995000,8000000,6722700,7100000,6415200,4100000,4139700,4300000,3722700,55600000,53505600,74907840,21402240
Volkswagen AG,06-2024,22500000,21141300,11100000,11023100,7000000,7588100,6700000,6320400,4400000,4830500,4600000,4409400,56300000,55312800,77437920,22125120
Volkswagen AG,07-2024,21800000,21373000,11300000,11808200,7100000,7447300,6200000,6486500,5000000,4436700,4200000,4279800,55600000,55831500,78164100,22332600
Volkswagen AG,08-2024,22400000,21136000,11100000,11792100,7600000,6743400,6000000,6638700,4100000,4867900,4300000,4045600,55500000,55223700,77313180,22089480
Volkswagen AG,09-2024,22200000,19501900,10800000,11000200,8100000,7533400,7000000,6740300,3900000,4594500,4100000,3991100,56100000,53361400,74705960,21344560
Volkswagen AG,10-2024,22400000,20599700,10600000,11866600,8100000,7409100,5800000,6707900,3900000,4772200,3900000,4339100,54700000,55694600,77972440,22277840
Volkswagen AG,11-2024,21900000,21762200,11100000,11822400,7800000,7572000,6100000,5998100,4200000,4860400,4000000,3872900,55100000,55888000,78243200,22355200
Volkswagen AG,12-2024,22400000,20120100,10800000,11570300,6800000,7649600,6200000,6630600,3900000,4520100,4600000,3865200,54700000,54355900,76098260,21742360
Toyota Motor Corporation,01-2015,21700000,21188600,11100000,11353700,6800000,7620000,5800000,6043400,4400000,4646400,4100000,3758600,53900000,54610700,76454980,21844280
Toyota Motor Corporation,02-2015,21800000,21231700,11600000,11667000,7700000,7611500,6600000,6213300,5100000,4307800,3700000,4048900,56500000,55080200,77112280,22032080
Toyota Motor Corporation,03-2015,21600000,21086900,10700000,11677000,6500000,7887200,6500000,5958300,3800000,4399400,4100000,3843300,53200000,54852100,76792940,21940840
Toyota Motor Corporation,04-2015,22200000,21919900,10500000,11556600,8000000,7174800,7000000,6088200,4600000,4063200,4700000,3973900,57000000,54776600,76687240,21910640
Toyota Motor Corporation,05-2015,22200000,21904900,12500000,11986900,7900000,7692100,5800000,6199700,3800000,4022500,3800000,3962800,56000000,55768900,78076460,22307560
Toyota Motor Corporation,06-2015,21600000,21835600,11000000,11941000,8000000,7077500,6900000,6319400,4500000,4601800,4300000,3965300,56300000,55740600,78036840,22296240
Toyota Motor Corporation,07-2015,21800000,20941400,10700000,10927200,8100000,7294400,6000000,6726100,5000000,4744000,3700000,4459900,55300000,55093000,77130200,22037200
Toyota Motor Corporation,08-2015,21900000,21951800,10900000,11272500,6700000,7698400,6700000,6656000,5000000,4068600,4300000,4124100,55500000,55771400,78079960,22308560
Toyota Motor Corporation,09-2015,22100000,20269800,11700000,11245500,7300000,7474800,7000000,6108500,4900000,4552700,4400000,3734600,57400000,53385900,74740260,21354360
Toyota Motor Corporation,10-2015,22300000,20597700,10700000,11595900,6600000,7305000,5900000,6017900,4100000,4447200,4400000,4224500,54000000,54188200,75863480,21675280
Toyota Motor Corporation,11-2015,21900000,20286300,10900000,11242600,6800000,7847100,6000000,6322600,4300000,4756200,4400000,4230100,54300000,54684900,76558860,21873960
Toyota Motor Corporation,12-2015,21600000,20057900,12300000,11319700,7900000,7297800,6000000,6446200,5000000,4341100,4300000,4164900,57100000,53627600,75078640,21451040
Toyota Motor Corporation,01-2016,21700000,21017200,11600000,11919000,7600000,7629700,6900000,6072100,3900000,4202200,4400000,4407900,56100000,55248100,77347340,22099240
Toyota Motor Corporation,02-2016,21600000,21215200,10500000,11750900,6700000,7307400,6800000,6344200,4000000,4380900,4500000,4277500,54100000,55276100,77386540,22110440
Toyota Motor Corporation,03-2016,21700000,21244100,10700000,11587500,6800000,7076900,6200000,6415600,4600000,4043800,3900000,3823600,53900000,54191500,75868100,21676600
Toyota Motor Corporation,04-2016,21700000,21195500,11600000,11221600,8200000,6806100,6800000,6087200,4400000,4713400,4100000,4021500,56800000,54045300,75663420,21618120
Toyota Motor Corporation,05-2016,21600000,21623900,12500000,11853400,7400000,7772000,6000000,6414600,4800000,4256800,3700000,4237500,56000000,56158200,78621480,22463280
Toyota Motor Corporation,06-2016,22100000,20480900,11600000,11376500,7700000,7199600,6300000,6148100,3800000,4204000,4400000,4454100,55900000,53863200,75408480,21545280
Toyota Motor Corporation,07-2016,21800000,20272800,10600000,11602700,7200000,7136000,6900000,6371700,4800000,4113100,3900000,4281200,55200000,53777500,75288500,21511000
Toyota Motor Corporation,08-2016,21900000,19770400,10700000,11742000,7700000,7842200,6500000,6300200,4100000,4720900,4200000,4308200,55100000,54683900,76557460,21873560
Toyota Motor Corporation,09-2016,21900000,20509300,11300000,11162100,7400000,7620400,6900000,6316300,4200000,4505600,3800000,4056600,55500000,54170300,75838420,21668120
Toyota Motor Corporation,10-2016,22100000,19643600,10600000,11452100,7400000,7408100,6900000,6454400,4100000,4669500,3600000,3931800,54700000,53559500,74983300,21423800
Toyota Motor Corporation,11-2016,22400000,20140300,11600000,11007300,7100000,7582700,6400000,6688200,4400000,4073300,3900000,4400400,55800000,53892200,75449080,21556880
Toyota Motor Corporation,12-2016,21500000,19641400,10500000,11775600,8100000,6949900,6400000,6441400,4200000,4876800,3700000,3931700,54400000,53616800,75063520,21446720
Toyota Motor Corporation,01-2017,22300000,20364700,12500000,11544300,6500000,7385700,6200000,6757800,4300000,4157600,4100000,3947800,55900000,54157900,75821060,21663160
Toyota Motor Corporation,02-2017,21900000,20557600,11400000,11706400,6500000,7010400,6000000,6002100,3800000,4796000,3700000,3968000,53300000,54040500,75656700,21616200
Toyota Motor Corporation,03-2017,22300000,19615900,10600000,11474600,8200000,7877700,6100000,6101600,4100000,4030000,4200000,4326700,55500000,53426500,74797100,21370600
Toyota Motor Corporation,04-2017,21500000,21655700,11100000,11565900,7900000,7456400,6500000,6195000,4800000,4184900,4000000,4158800,55800000,55216700,77303380,22086680
Toyota Motor Corporation,05-2017,21900000,20927400,12300000,11214100,6600000,7353400,6500000,6643800,4500000,4476300,3500000,4438900,55300000,55053900,77075460,22021560
Toyota Motor Corporation,06-2017,21800000,19536200,11300000,11430700,7700000,7062200,6700000,6187700,4100000,4651200,3900000,4337900,55500000,53205900,74488260,21282360
Toyota Motor Corporation,07-2017,22100000,20212300,12200000,11241800,6800000,7734100,6900000,6264600,4300000,4250300,4700000,4397200,57000000,54100300,75740420,21640120
Toyota Motor Corporation,08-2017,22400000,21997300,10500000,11407700,6800000,6883800,6800000,6438900,3900000,4146900,4100000,4083400,54500000,54958000,76941200,21983200
Toyota Motor Corporation,09-2017,22100000,20711800,12400000,11100800,8000000,7393100,6500000,6421500,4700000,4433300,4300000,4090600,58000000,54151100,75811540,21660440
Toyota Motor Corporation,10-2017,21600000,20464200,11800000,11168400,7600000,7376300,6600000,6062100,4800000,4563300,4300000,3865800,56700000,53500100,74900140,21400040
Toyota Motor Corporation,11-2017,22300000,20585900,12500000,11059800,6600000,7897400,6200000,6011900,3900000,4735000,3500000,3842700,55000000,54132700,75785780,21653080
Toyota Motor Corporation,12-2017,21800000,21817800,11400000,11269200,7500000,7451200,7100000,6632500,4100000,4500300,4400000,4208600,56300000,55879600,78231440,22351840
Toyota Motor Corporation,01-2018,22500000,20369600,10900000,11726700,7000000,7713600,6300000,6139500,4800000,4526900,4400000,4164700,55900000,54641000,76497400,21856400
Toyota Motor Corporation,02-2018,21900000,21924100,10600000,11578400,7600000,7299600,7100000,6586600,4800000,4570100,4300000,4309300,56300000,56268100,78775340,22507240
Toyota Motor Corporation,03-2018,21600000,20968300,11200000,11069100,8100000,7244700,6000000,6615800,5000000,4188400,4500000,3941300,56400000,54027600,75638640,21611040
Toyota Motor Corporation,04-2018,21800000,21681300,12400000,10928100,7000000,7370800,6800000,6198000,4200000,4813400,3500000,3863200,55700000,54854800,76796720,21941920
Toyota Motor Corporation,05-2018,21600000,19643300,10600000,11299100,7000000,7829800,6100000,6699100,4000000,4089800,4300000,3700900,53600000,53262000,74566800,21304800
Toyota Motor Corporation,06-2018,22000000,20616500,10900000,11698700,7900000,6991600,7000000,6712200,5000000,4189200,3600000,4290000,56400000,54498200,76297480,21799280
Toyota Motor Corporation,07-2018,22300000,20293800,11700000,11581400,6800000,7819400,7100000,5965800,4500000,4511900,4100000,4244800,56500000,54417100,76183940,21766840
Toyota Motor Corporation,08-2018,21800000,20239400,10800000,11617200,8200000,6943800,7100000,6691800,4800000,4481700,4600000,4146600,57300000,54120500,75768700,21648200
Toyota Motor Corporation,09-2018,21700000,20657600,12400000,11955700,7200000,7620100,7100000,6076800,4400000,4304600,4000000,4426400,56800000,55041200,77057680,22016480
Toyota Motor Corporation,10-2018,21800000,20297900,12300000,11315200,7600000,6835100,6000000,6617300,4300000,4822500,4100000,4344400,56100000,54232400,75925360,21692960
Toyota Motor Corporation,11-2018,21500000,21159900,10700000,11306900,6800000,7250100,6100000,6529700,4200000,4331700,3600000,4415300,52900000,54993600,76991040,21997440
Toyota Motor Corporation,12-2018,21800000,21802900,11700000,11700100,6700000,6910400,7000000,6112800,5000000,4075300,4500000,4460800,56700000,55062300,77087220,22024920
Toyota Motor Corporation,01-2019,21600000,20088700,11000000,11371900,7900000,7169400,6100000,6294300,4300000,4142900,3500000,4389000,54400000,53456200,74838680,21382480
Toyota Motor Corporation,02-2019,22400000,21875300,11600000,11119900,7100000,7678600,6700000,6210200,4700000,4251000,3500000,4164900,56000000,55299900,77419860,22119960
Toyota Motor Corporation,03-2019,21800000,20562900,12400000,11090400,6600000,7707800,6500000,6522700,4500000,4216300,4700000,3856300,56500000,53956400,75538960,21582560
Toyota Motor Corporation,04-2019,21800000,21321200,11300000,11177800,7400000,6738600,5800000,6362200,4700000,4667100,4000000,4315000,55000000,54581900,76414660,21832760
Toyota Motor Corporation,05-2019,22400000,20159600,10800000,11141800,7600000,7240900,6700000,6579000,3900000,4421700,4200000,4490300,55600000,54033300,75646620,21613320
